"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"000","05",100,250,3,-1,1,3
"000","05",80,90,3,-1,-1,-1
"000","05",80,90,3,-1,-1,-1
"000","05",300,290,1,50,2,3
"000","05",300,290,1,50,2,3
"000","05",300,290,1,50,2,3
"000","05",300,290,1,50,2,3
"000","05",150,130,3,-1,-1,-1
"000","05",150,130,3,-1,-1,-1
"000","05",-1,-1,-1,-1,-1,-1
"000","05",-1,-1,-1,-1,-1,-1
"000","05",-1,-1,-1,-1,-1,-1
"000","05",80,120,3,-1,-1,-1
"000","05",80,120,3,-1,-1,-1
"000","05",100,100,2,-1,-1,-1
"000","05",130,130,3,-1,-1,-1
"000","05",140,140,3,-1,-1,3
"001","06",500,420,3,-1,-1,-1
"001","06",500,420,3,-1,-1,-1
"001","06",500,420,3,-1,-1,-1
"001","06",500,420,3,-1,-1,-1
"001","06",120,70,2,-1,-1,-1
"001","06",120,70,2,-1,-1,-1
"001","06",40,70,3,-1,-1,-1
"001","06",40,70,3,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",-1,-1,-1,-1,-1,-1
"001","06",400,450,2,-1,-1,-1
"001","06",400,450,2,-1,-1,-1
"001","06",300,300,2,-1,-1,-1
"001","06",300,300,2,-1,-1,-1
"001","06",300,300,2,-1,-1,-1
"001","06",300,300,2,-1,-1,-1
"001","06",170,170,2,-1,-1,-1
"001","06",170,170,2,-1,-1,-1
"001","06",400,600,2,-1,-1,-1
"001","06",400,600,2,-1,-1,-1
"001","06",160,370,2,-1,-1,-1
"001","06",200,160,1,200,-1,-1
"001","06",270,270,2,-1,-1,-1
"001","06",270,270,2,-1,-1,-1
"000","06",380,500,2,-1,-1,-1
"000","06",380,500,2,-1,-1,-1
"000","06",380,500,2,-1,-1,-1
"000","06",180,180,2,-1,-1,-1
"000","06",180,180,2,-1,-1,-1
"000","06",180,180,2,-1,-1,-1
"000","06",180,180,2,-1,-1,-1
"000","06",-1,-1,-1,-1,-1,-1
"000","06",-1,-1,-1,-1,-1,-1
"000","06",-1,-1,-1,-1,-1,-1
"017","06",50,200,1,10,2,3
"017","06",50,200,1,10,2,3
"017","06",250,330,2,-1,-1,-1
"017","06",250,330,2,-1,-1,-1
"017","06",250,330,2,-1,-1,-1
"017","06",250,330,2,-1,-1,-1
"019","06",120,200,3,-1,-1,-1
"019","06",120,200,3,-1,-1,-1
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",100,210,1,100,2,2
"019","06",70,30,2,-1,-1,3
"019","06",70,200,3,-1,-1,-1
